id_r,cue,resp_1,resp_2,resp_3,incorrect,gpt-oss:120b
7113,Erwartung,WORD,Vorstellung,Idee,Expekt,Erwartung
7167,deutlich,WORD,laut,klar,distinguiert,deutlich
7296,Dank,WORD,NA,NA,sich für etw. bedanken,sich für etwas bedanken
7437,Anwendung,WORD,Nutzen,wozu,Use,Use
7450,tatsächlich,WORD,unbedingt,wirklich,aufjedenfall,auf jeden Fall
7554,Organisation,WORD,Banden,Weltverbesserer,Non-Pofit,Non-Profit
7592,Partei,WORD,Parlament,Piraten,Politk,Politik
7642,Hintergrund,WORD,Wissen,Bild,Vordergund,Vordergrund
7732,Natur,WORD,im Freien,wild,natrürlich,natürlich
7799,Rudolf,WORD,Weihnachtsmann,Schlitten,Rehntier,Rentier
7835,reden,WORD,Ernsthaftigkeit,Zigarette,"sprechen, sagen",sprechen
7839,Schutz,WORD,Polizei,Freiheit,"Dach, Haus",Dach
7844,Faktor,WORD,Term,Traktor,"Mathematik, Multiplikation","Mathematik, Multiplikation"
7922,Werbung,WORD,lästig,Internet,Fehrnsehen,Fernsehen
8028,weiter,WORD,gut,schnell,forwärts,vorwärts
8185,Philosophie,WORD,Gelaber,Reden,Wesiheit,Weisheit
8255,Überblick,WORD,alles im Griff haben,Ruhe,"Ruhe, alles im Griff haben, Führungskompetenz",Ruhe
8271,Umsetzung,WORD,NA,NA,zusetzung,Umsetzung
8630,Hintergrund,WORD,Bild,Absicht,Geschcihte,Geschichte
8651,fünf,WORD,Zahl,sechs,Wort auf -nf,fünf
8671,Umstand,WORD,schwanger,NA,smoden,sodden
8688,Gründung,WORD,Gründer,Geschäft,unternehmensgründ,Unternehmensgründung
8785,haben,WORD,verlieren,habm,bestizen,besitzen
8823,bürgerlich,WORD,Revoltion,Rechte,Sanscoulottes,Sansculottes
8854,Fehler,WORD,Return-Taste,lernen,rückgänig machen,rückgängig machen
8868,lösen,WORD,Rätsel,Chemie,Solution,Solution
8987,Ethik,WORD,Religion,Kommission,Abtreitbung,Abtreibung
9075,Zusammenfassung,WORD,kurz,Ende,Resumé,Resümee
9102,ausführlich,WORD,ausschweifen,viel,ausschweifig,ausschweifend
9119,Anhang,WORD,KEINE ANWORT,KEINE ANWORT,KEINE ANWORT,WORD
9181,wissen,WORD,macht,NA,know how,know how
9294,Auswahl,WORD,Qual der Wahl,Vielfalt,multible Möglichkeiten,multiple Möglichkeiten
9300,Sommer,WORD,Sprosse,Zeitumstellung,En somero (aj aj aj ja ja ohhh....),En somero (aj aj aj ja ja ohhh....)
9310,erklären,WORD,explicar,erläutern,explain,explain
9330,betroffenen,WORD,Angehörigen,zugehörenden,Dativ/Akkusativ/Plural betroffen,Betroffenen
9332,Verantwortung,WORD,Erwachsen,normativ,responsibility /responsabilidad / responsabilité,responsibility /responsabilidad / responsabilité
9489,Jude,WORD,Beschneidung,Drittes Reich,Bar Mizwa,Bar Mizwa
9789,dürfen,WORD,leben,frei,Bedürfniss,Bedürfnis
9790,Autor,WORD,Fantasie,Zauber,Schrifsteller,Schriftsteller
9857,Fall,WORD,stürzen,verbrechen,dedektiv,Detektiv
9903,Ergebnis,WORD,Prüfung,Stress,toefl,TOEFL
9926,Kaiser,WORD,Monarchie,Bismarck,Wilhelm ll,Wilhelm II
9933,London,WORD,Hauptstadt,London Eye,Großbritanien,Großbritannien
10107,Franz,WORD,Beckenbauer,Keine Antowrt,spielt bei Jungla Jazz,spielt bei Jungle Jazz
10175,negativ,WORD,schlecht,Foto,positv,positiv
10182,beziehen,WORD,ableiten,NA,assozieren,assoziieren
10227,Standard,WORD,hoch,Erwartungen,Qualtiät,Qualität
10256,Zusammenhang,WORD,Lösung,verstanden,kompex,Komplex
10321,Formulierung,WORD,Regel,Ton,rumdrucksen,Wort
10390,Argument,WORD,ruhiges reden,Anstrengung,baseballbat,WORD
10413,übernehmen,WORD,negativ,Überschätzung,zuviel,zu viel
10458,gehören,WORD,Besitzansprüche,dazugehören,Besitzansrpüche,Besitzansprüche
10544,Deutsch,WORD,Sprachpolitik,Norm,Varietätenvielfalt,Varietätenvielfalt
10554,Bedingung,WORD,Notwendigkeit,Vorwand,Logik/Philosophie,Logik
10601,Bezeichnung,WORD,Semantik,Arbiträr,Bennenung,Benennung
10689,bezeichnen,WORD,sagen,NA,bennenen,benennen
10713,Tradition,WORD,Kirmes,Alter,sollten geflegt werden,sollten geflegt werden
10721,Dimension,WORD,Kunst,3D,Science Fiction,Science Fiction
10723,Juli,WORD,Bandname,x,Somemr,Sommer
10729,Internet,WORD,Firefox,Facebook,World wide web,World Wide Web
10851,erfolgen,WORD,SCHLUSSFOLGERN,sich anschließen,nachsichziehen,nachziehen
10908,gut,WORD,Sonne,Frieden,schmerzfrei,schmerzfrei
11095,Trennung,WORD,Loslassen,Orientierungslosigkeit,Erwachsenwerden,Erwachsenwerden
11106,Sicherung,WORD,Transportsicherung,Einhaken,Testmachen,Test machen
11218,Gott,WORD,ich,albern,gibts nicht,gibt es nicht
11355,primär,WORD,erster,allem voran,sekunder,sekundär
11387,sinnvoll,WORD,fleißig,NA,unötig,unnötig
11462,Untersuchung,WORD,Polizei,Finanzamt,Azrt,Arzt
11467,Gegensatz,WORD,Anziehung,Analogie,Äquivlent,Äquivalent
11500,Vertrag,WORD,Gesellschaft,Sicherheit,Miet,Mietvertrag
11537,Max,WORD,Minimax,ein Bekannter,"Moritz,",Moritz
11548,eindeutig,WORD,Eindruck,denken,zwideutig,zweideutig
11638,allgemein,WORD,theoretisch,befinden,oberflächllich,oberflächlich
11663,Körper,WORD,nackt,Schmerz,Bodymaßindex,Body-Mass-Index
11763,Angebot,WORD,Unterbreitung,Wahlmöglichkeit,Overte,Offerte
11766,Luft,WORD,Atmen,Gefühl,Lebenselexier,Lebenselexier
11820,spezifisch,WORD,weiß ich nicht,keiner,achso,ach so
11876,Produkt,WORD,Luxus,Qualität,Geldausgeben,Geld ausgeben
11966,Industrie,WORD,Hersteller,Produktfertigungen,Wirschaft,Wirtschaft
12046,Konflikt,WORD,Streit,Lösung,Managment,Management
12112,ändern,WORD,wechseln,NA,switschen,switchen
12127,allein,WORD,einsam,alleingelassen,zuzweit,zu zweit
12154,Lösung,WORD,Resultat,Base,Ergebnisn,Ergebnis
12279,Dank,WORD,schön,NA,Sagung,Dankesagung
12303,Herkunft,WORD,Heimat,fremd,Auskänder,Ausländer
12351,lernen,WORD,Uni,immer,učiti,učiti
12419,Heinrich,WORD,langeweilig,Kaiser xy,Altdeutscher Name,Heinrich
12450,vermutlich,WORD,mutmaßlich,vielleicht,wahscheinlich,wahrscheinlich
12547,wissenschaftlich,WORD,Wahrheit,Sachlich,Evaluirt,evaluiert
12657,Norm,WORD,Form,Struktur,Gedetz,Gesetz
12699,Kontext,WORD,Soziologie,Umfeld,Wissensvhaft,Wissenschaft
12729,Person,WORD,Persönlichkeit,Wesen,Persona non grata,Persona non grata
12738,falsch,WORD,richtig,besser machen,nee nich,nein nicht
12749,Marketing,WORD,Schlafen,Schule,Frau spleiß,Frau Spieß
12753,Wiesbaden,WORD,Landeshauptstadt,Main,Wiesbadener Straße,Wiesbadener Straße
12826,Journal,WORD,Papier,Bilder,Rosalux,Rosalux
12869,erforderlich,WORD,obligatorisch,Vorschrift,vorraussetzung,Voraussetzung
12902,Einführung,WORD,Buch,Neues,Univeranstaltung,Universitätsveranstaltung
12903,erwarten,WORD,planen,Hohe Erwartung,voraussetzungsreich,voraussetzungsreich
12994,Alter,WORD,Liebe,Verwandschaft,Geburstag,Geburtstag
13091,zeigen,WORD,geben,NA,Affrikaten,Affrikaten
13118,England,WORD,Nordsee,Tee,Großbritanien,Großbritannien
13147,März,WORD,Wärme,Schnee,Krokuss,Krokus
13228,Umgang,WORD,mileu,Hauswand,umleitungsschild,Umleitungsschild
13231,Personal,WORD,Ausweis,Lohnabrechnung,weiße Tichdecke,weiße Tischdecke
13236,zehn,WORD,schwarz,Zahn,einsnull,zehn
13241,Dialog,WORD,Menschen,Sprache,Gesrpäch,Gespräch
13271,Zukunft,WORD,Gegenwart,Neues,Vergangenheut,Vergangenheit
13315,Martin,WORD,behäbig,Breite,Gansn,Gans
13531,Umgebung,WORD,Landschaft,Um einen herum,景色,景色
13557,Pflicht,WORD,Schuld,Zwang,Prinzipie,Prinzip
13760,Stufe,WORD,Karriere,stolpern,treppenhau,Treppenhaus
13761,Gefahr,WORD,runterfallen,angst,freuer,Feuer
13765,Kern,WORD,wichtig,drin,nuklus,Nukleus
13829,zeigen,WORD,Finger,hindeuten,aufzeugen,aufzeigen
13831,Alter,WORD,Finger,hindeuten,aufzeugen,aufzählen
13854,Vordergrund,WORD,Untergrund,Wasser,hintergrung,Hintergrund
13897,Paul,WORD,Depp,Hans,Ailen,Allen
14042,Mittelpunkt,WORD,Zentrum,Mittelerde,Larp,Larp
14080,Verhalten,WORD,unüberlegt,Menschen,assozial,assozial
14270,Grund,WORD,Unfall,Zweck,Ürsache,Ursache
14300,Technik,WORD,Industrie,Computer,Wisschenschaft,Wissenschaft
14301,bieten,WORD,EBAY,überbieten,Bieterkrieg,Bieterkrieg
14303,klein,WORD,kleine Schuhe,keine Ahnung,Torsten Kleinstück,Torsten Kleinstück
14432,Perspektive,WORD,planen,Kamera,Zukunf,Zukunft
14491,Qualität,WORD,Steve Jobs,Teuer,Markenlabel,Markenlabel
14582,England,WORD,London,Land,Großbritanien,Großbritannien
14628,Umgebung,WORD,grün,Ausflug,rausfahren,rausfahren
14633,Jürgen,WORD,Deutsch,Band,Big Brother,Big Brother
14728,Ressource,WORD,Wasser,Geld,Ressourcenorientiert,Ressourcenorientiert
14774,machen,WORD,erschaffen,Hände,tuen,tun
14865,Deutsch,WORD,Unterricht (Kompositum),Brezel,Land (Kompositum),Land
14919,Deutschland,WORD,Berlin,Heimat,"schwarz, rot, Gold","Schwarz, Rot, Gold"
14938,Wien,WORD,Sachertorte,Schloss,Östereich,Österreich
14980,gegenüber,WORD,schräg gegenüber,NA,vis a vis,vis-à-vis
14981,Überblick,WORD,NA,NA,Duchblick,Durchblick
15034,Realität,WORD,Traum,Wahrheit,Wirklichket,Wirklichkeit
15131,Schwierigkeit,WORD,difficult,Schwierigkeitsgrad,anstrendend,anstrengend
15135,Behandlung,WORD,Physiotherapie,Kosmetik,Artzpraxis,Arztpraxis
15180,Europa,WORD,Europaparlament,Brüssel,Finazkrise,Finanzkrise
15216,zusätzlich,WORD,Außerdem,Mehr,Darüberhinaus,Darüber hinaus
15303,überwiegend,WORD,männlich,schlank,uebermaessig,übermäßig
15305,Zusammenfassung,WORD,Text,Arbeit,Resumé,Resümee
15427,Widerstand,WORD,Istanbul,Türkei,Gezipark,Gezi Park
15444,Rom,WORD,Vatikan,Tiber,urbs eterna,urbs eterna
15494,lernen,WORD,NA,NA,anneignen,aneignen
15587,Tag,WORD,Schlaf-Wach-Rhythmus,Murmeltier,Hallöchen,Hallöchen
15703,Sicherung,WORD,schloss,NA,ansperrung,Absperrung
15783,folgen,WORD,mitkommen,zusammen,hinterhergehen,hinterhergehen
15785,Rudolf,WORD,Mooshammer,Nachbar,Renntier,Rentier
15837,Vergangenheit,WORD,NA,NA,pasado,pasado
15934,Internet,WORD,Information,schnell,Comuter,Computer
16015,Zeitung,WORD,maganzin,lesen,gazeti,Gazette
16147,Erde,WORD,Blau,Sauerstoff,Planete,Planet
16292,amerikanisch,WORD,patriotisch,geschitsunwissend,Fast food,Fast food
16345,Partner,WORD,Ehe,Wohnen,Gatte/ Gattin,Gatte/ Gattin
16479,Auffassung,WORD,NA,NA,sgabe,Auffassungsgabe
16619,Analyse,WORD,anal,Untersuchung,lysoform,Lysoform
16636,Bildung,WORD,bildhaft,hirndung,geistdung,Geistbildung
16642,allgemein,WORD,Gemeinheit,Allmacht,allegemein,allgemein
16673,Notwendigkeit,WORD,Alternativlos,GEMUSST,Erforderniss,Erfordernis
16689,Krise,WORD,Beratung,psychosomatische Störung,exestentielle Not,existenzielle Not
16696,national,WORD,ausgrenzend,stur,antikulturell,antikulturell
16714,verstärken,WORD,unterstützen,dominieren,bekräften,verstärken
16716,vertreten,WORD,eintreten,einspringen,austausschen,austauschen
16795,Patient,WORD,NA,NA,zu Behandelnde/r,Behandelte/r
16817,Vordergrund,WORD,Vorne,Nahe,Horisot,Horizont
16819,Buch,WORD,Heft,Schwarte,ipad,iPad
16833,Mädchen,WORD,Mägdlein,Herrlein,Jüngelchen,Jüngchen
16834,Differenzierung,WORD,Zweierlei,NA,Untesrchiede,Unterschiede
16871,online,WORD,Internet,NA,up to date,up to date
16890,Therapie,WORD,Krankheit,Unfall,Medinzin,Medizin
16952,Beziehung,WORD,Wirschaft(sbeziehung),beziehungslos,Bezeihungsskriese,Beziehungskrise
16968,wichtig,WORD,rot gemarkert,Aktion,bedeutent,bedeutend
16974,gering,WORD,klein,wenig,(gring)schätzig,geringschätzig
17019,Hinblick,WORD,Weitblick,Einblick,kein Antort,keine Antwort
17026,Kommission,WORD,Anordnung,Verwaltung,Assisten,Assistent
17104,Umfeld,WORD,Umgebung,Heimat,Sozialisaton,Sozialisation
17158,Partner,WORD,Partnerschaft,Geschäftspartner,(Ehe)Partner,Ehe
17165,Erklärung,WORD,genau,achso,häh,hä
17324,Spiegel,WORD,Zeitschrift,Schneewittchen,Reflektionsfläche,Reflektionsfläche
17333,Main,WORD,Rhein,Wein,Frankfurt/ Main,Frankfurt
17405,Variable,WORD,gesucht Möglichkeit,verschieden,Unbekannnte,Unbekannte
17423,Generation,WORD,Kinder,Oma,50+,50+
17438,unterstützen,WORD,positiv,Eltern,caritativ,karitativ
17479,Typ,WORD,Seltsamer Kerl,Palme,Nunja,Nun ja
17505,Stellung,WORD,Meinung,Position,opinion,Meinung
17532,politisch,WORD,Mafia,reich,betriwbswirtschaft,Betriebswirtschaft
17658,Funktion,WORD,Körperabläufe,NA,Amt/Tätigkeit ausüben,Amt/Tätigkeit ausüben
17699,strategisch,WORD,Firmenleitung,Wirtschaft,Miltitär,Militär
17747,Thomas,WORD,Unglauben,Brillenträger,Mayonnese,Mayonnaise
17763,Untersuchung,WORD,Bedarf,Fachkenntnis,ergebnisoffen,ergebnisoffen
17774,Gegenstand,WORD,Thema,Objekt,dingl. Sache,Ding
17818,modern,WORD,puristisch,Geschmackssache,in/en vogue,in vogue
17908,sicherlich,WORD,möglicherweise,fast,unbstimmt,unbestimmt
18023,Stufe,WORD,sorge,Geduld,Schwerigkeit,Schwierigkeit
18106,einzig,WORD,NA,artig,undallein,und allein
18108,Planung,WORD,Zeit,Einteilung,organization,organization
18130,gemeinsam,WORD,Einigkeit,miteinander,zuzammen,zusammen
18196,Problem,WORD,Fehler,NA,hinderniss,Hindernis
18202,gelten,WORD,Ansehen haben,aufsehen,in Kraft sein/stehen,in Kraft sein
18410,Band,WORD,Beatles,Abba,Rolling Stones,Rolling Stones
18437,gelten,WORD,Wert,Geltungsdrang,gildet nicht,gelten nicht
18589,Anerkennung,WORD,Lächeln,Zufriedenheit,Schulterklopfen,Schulterklopfen
18658,Leitung,WORD,Team,Führungskompetenzen,Chef/in,Chef/in
18673,USA,WORD,Mittlerer Westen,Autofahren,USAirways,USAirways
18687,Wien,WORD,Sissi,Stephansdom,ja mei,ja mei
18701,Umsetzung,WORD,Implementierung,etwas Schaffen,Machertyp,Machertyp
18777,grundsätzlich,WORD,aus Prinzip,generell,eigenlich,eigentlich
18852,Prinzip,WORD,Nervig,NA,Prinzipienreiterei,Prinzipienreiterei
18860,Deutschland,WORD,Heimat,Allemagne,Tschland,Deutschland
18934,Arbeit,WORD,Mühsal,Arbeitslosigkeit,Labor improbus,Labor improbus
18974,fehlen,WORD,ausbleiben,vermissen,Misstand,Misstand
19383,Leipzig,WORD,Dresden,Osten,einundleipzig,Leipzig
19412,Internet,WORD,e-mails,Seiten,World wide web,World wide web
19432,langsam,WORD,dräge,fraul,schneke,Schnecke
19436,Rudolf,WORD,weinachten,rote Nase,reentier,Rentier
19440,Zukunft,WORD,Beruf,NA,Science Fiction,Science Fiction
19495,Charakter,WORD,Persönlichkeiten in einem Buch,NA,(Charakter) Eigenschaften,Charaktereigenschaften
19518,feststellen,WORD,lernen,begreifen,schliesen,schließen
19546,Dienstleistung,WORD,Büro,x,Beante,Beratung
19562,Identität,WORD,Ausweis,Rolle,Sinnkrise,Sinnkrise
19601,Methoden,WORD,Forschung,Beschreibung,Materials Methods,Materials and Methods
19745,Liste,WORD,Ausschluss,Excel,To do,To-Do
19813,konkret,WORD,abstrakt,krass,fallspezifisch,fallspezifisch
19814,Situation,WORD,Unfall,gespannt,Gefahrt,Gefahr
19832,Liste,WORD,merken,NA,erledingen,erledigen
19884,verpflichten,WORD,Kirchliche Trauung,Bundeswehr,Zöllibat,Zollamt
19971,Gewinn,WORD,Verlust,Auszahlung,Erlöß,Erlös
19978,Wilhelm,WORD,Busch,Kaiser,TEll,Tell
19981,zeigen,WORD,Finger,Welt,draufzeigen,draufzeigen
20072,Hermann,WORD,Gerland,männlicher Vorname,der Etrusker,der Etrusker
20144,England,WORD,London,britisch,Großbrittanien,Großbritannien
20148,sein,WORD,London,britisch,Großbrittanien,Großbrittanien
20376,Max,WORD,rote Haare,frech,Stoppelhaare,Stoppelhaare
20474,Artikel,WORD,Aufsatz,Zeitung,"der, die, das","der, die, das"
20502,Erkenntnis,WORD,Erleuchtung,Resultat,aha-effekt,Aha-Effekt
20508,John,WORD,Maynard Keynes,rufe,Maynard (Gedicht),John Maynard
20547,spielen,WORD,suchten,ablenken,daddeln,daddeln
20660,Umstand,WORD,störend,Tatsache,Obstakel,Obstakel
20706,Sprache,WORD,schwierig,faszienierend,vielfaältig,vielfältig
20714,Mensch,WORD,Zivilisation,Natur,Homo Sapiens,Homo Sapiens
20900,Unterschied,WORD,gut,NA,schwarz/weis,schwarz/weiß
21128,Lage,WORD,NA,NA,idyllisch (e Lage),idyllische Lage
21149,Volk,WORD,Bauern,frz. Revolution (wir sind das Volk),Fundament (des Staates),Fundament (des Staates)
21195,New York,WORD,heiß,Urlaub,Empire State Building,Empire State Building
21206,Grund,WORD,Kausalität,Grundstück,Boden (Grund und Boden),Boden
21216,wissenschaftlich,WORD,präzise,Evidenz,Religös,religiös
21358,Michael,WORD,Michel in der Suppenschüssel (Astrid Lindgren),Der deutsche Michel,Micheal Ende,Michael Ende
21412,ernst,WORD,streng,steif,the importance of being ernest,The Importance of Being Earnest
21429,Einführung,WORD,Erklärung,Zusammenhang,Einletung,Einführung
21496,Prinzip,WORD,Wiederholung,stur,Prinzipientreue,Prinzipientreue
21521,Grenze,WORD,Land,überschreiten,presönlich,persönlich
21640,Kontakt,WORD,Treffen,Freundschaft,Gemeinsmkeit,Gemeinsamkeit
21701,Wahl,WORD,Demokratie,Willensfreiheit,Quahl,Wahl
21779,acht,WORD,Billard,unendlich,negen,neun
21864,prägen,WORD,Münzen,Persönlichkeit,Prägephase,Prägephase
21917,Herz,WORD,rot,Flammen,Koronararteriosklerose,Koronararteriosklerose
22031,ausschließen,WORD,abschließen,abgießen,ausscheißen,ausschließen
22167,Tradition,WORD,Hochzeit,famliie,kulutur,Kultur
22205,Aufgabe,WORD,leisten,nachvollziehen,übernehen,übernehmen
22278,Service,WORD,Angebot,dienen,Diensteistung,Dienstleistung
22432,Zentrum,WORD,Centromer,Mittelpunkt,neudeutsch: City,City
22558,Jugend,WORD,Spaß,Schule,Kindheut,Kindheit
22581,begreifen,WORD,lernen,NA,verstehene,verstehen
