id_r,cue,resp_1,resp_2,resp_3,incorrect,human_correction,llama4:latest,gpt-oss:120b
128658,beeindrucken,alles geben,guten Eindruck machen,WORD,anderes Geschlech,anderes Geschlecht,anderes Geschlecht,anderes Geschlecht
130407,Teamgeist,Kooperation,WORD,Synergie,Teamspirit,team spirit,Teamspirit,Teamspirit
345677,blond,WORD,Wasserstoff,NA,Marilyn montoe,Marilyn Monroe,Marilyn Monroe,Marilyn Monroe
159473,Pädagoge,Mann,WORD,Kinder,Theorielastig,theorielastig,Pädagoge,Theorielastig
320997,streicheln,liebkosen,Katze,WORD,behutsan,behutsam,behutsam,behutsam
302072,fegen,sauber machen,Schornsteinfeger,WORD,30. Geburtstag/Rathaus,30. Geburtstag,30. Geburtstag,30. Geburtstag
52437,Vermittlung,Telefon,Schlichter,WORD,Ausmitteln,Ausmitteln,Vermittlung,Ausmitteln
240165,komisch,lachen,Cabaret,WORD,runzlich,runzelig,komisch,witzig
292818,Bachelor,WORD,Single,jung,rtl+,RTL+,RTL,RTL+
79075,Kongress,WORD,interessant,teuer,dbl,dbl,Parlament,Debatte
11899,treten,schlagen,Fahrrad,WORD,betetn,betreten,betreten,betreten
195768,Abbild,Ähnlichkeit,Vergleich,WORD,abpauschen,abpausen,Abbild,abpauschen
180422,Geselligkeit,Lachen,Fröhlichkeit,WORD,sich zuprosten,sich zuprosten,zuprosten,sich zuprosten
276694,Bücher,WORD,sprachen,kaufen,lezen,lesen,lesen,lesen
223911,Gerede,WORD,belanglos,Kritik,Gequatsche,Gequatsche,Gequatsche,Gequatsche
317413,Graf,Herzog,Adel,WORD,Blaublütig,blaublütig,Adel,Blaublütig
167877,Verstoß,Regel,WORD,Gesetz,Stafe,Strafe,Strafe,Strafe
289262,keineswegs,nie,niemals,WORD,aufkeinen Fall,auf keinen Fall,auf keinen Fall,auf keinen Fall
113681,Anschrift,Adresse,Kontakt,WORD,Briefkasten / Post,Briefkasten,Briefkasten,Briefkasten
266756,PC,Computer,Laptop,WORD,Smatphone,Smartphone,Smartphone,Smartphone
362301,selbstlos,wünschenswert,WORD,NA,die Altruan,Altruan,Altruismus,die Altruistin
313996,vergebens,nicht ans Ziel gekommen,WORD,ohne Gewinn,Metzgergang,Metzgersgang,vergebens,vergeblich
286872,Faulheit,Faultier,Lernen,WORD,Motivationslos,motivationslos,Motivationslos,Motivationslos
239183,fließen,Fluss,Wasser,WORD,tai chi,Tai-Chi,tai chi,Tai Chi
328085,vorbereiten,zubereiten,parat,WORD,mise-en-place,Mise en Place,Mise en place,mise-en-place
318103,inzwischen,dazwischen,jetzt,WORD,daweil,daweil,daweil,derweil
78040,Handschrift,geschwungen,WORD,Persönlichkeit,krakelig,krakelig,krakelig,krakelig
343496,grob,Doll,WORD,NA,unsäuberlich,unsäuberlich,unsauber,unsäuberlich
152631,schlemmen,GENIESSEN,übertreiben,WORD,disziplinlos,disziplinlos,exzessiv,disziplinlos
88967,Symptom,Krankheit,WORD,NA,Psyschrembel,Pschyrembel,Psychorembel,Psychose
224256,Zwang,Diktatur,WORD,Diät,kravatte,Krawatte,Krawatte,Krawatte
352049,reinkommen,WORD,willkommen,wärme,rausgucken,rausgucken,hinausgucken,rausgucken
27381,Handbuch,WORD,NA,NA,Keine Antwort1,keine Antwort,Keine Antwort,Keine Antwort
189409,Fasching,Karneval,Feiern,WORD,Köstum,Kostüm,Kostüm,Kostüm
181281,Kredit,WORD,Bank,Hypothek,"Geld, Bank, Hypothek",Geld,Geld,Geld
382927,Geburtstag,immer älter,WORD,Mami,Schoggichueche,Schoggikuchen,Schokoladenkuchen,Schokochueche
327598,Motto,Mantra,WORD,Ansporn,verwinfachung,Vereinfachung,Vereinfachung,Vereinfachung
109460,Buddhismus,WORD,naturverbunden,heilig,friedvoll,friedvoll,friedvoll,friedvoll
183508,Schimmel,hässlich,WORD,giftig,grüngrau,grüngrau,grün,grün-grau
279205,Holocaust,Juden,Verbrennung,WORD,Yad vashem,Yad Vashem,Yad Vashem,Yad Vashem
298363,prahlen,angeben,WORD,Geld,Angeber:in,Angeber,Angeber,Angeber:in
132866,Küchenschrank,Kochen,WORD,Essen,Stsuraum,Stauraum,Schrank,Stauraum
245917,Anker,Schiff,stark,WORD,haltgebend,haltgebend,Anker,haltgebend
259928,eklig,gruselig,WORD,schleimig,dreckick,dreckig,ekelig,dreckig
114724,warten,Langeweile,WORD,nervig,ermüdent,ermüdend,ermüdend,ermüdend
294383,heulen,weinen,WORD,Tränen,Wolfsgeheule,Wolfsgeheule,Wolfsgeheule,Wolfsgeheul
397256,USA,Reisen,Lockerheit,WORD,Unverbindlichkeit,Unverbindlichkeit,Unverbindlichkeit,Unverbindlichkeit
76290,Millionen,Euro,Einwohner,WORD,Mückenplage,Mückenplage,Mücken,Mückenplage
252291,stimmt,passt,übereistimmung,WORD,bestätkgen,bestätigen,bestätigen,bestätigen
326416,Illusion,WORD,Träumer,Wunsch,trajum,Traum,Traum,Traum
97824,ergebnisorientiert,schule,lernen,WORD,Top down,top-down,Top-down,Top down
307642,mehrmals,öfters,wiederholt,WORD,vielzählig,vielzählig,mehrmals,vielzählig
32365,beschäftigen,arbeiten,unternehmen,WORD,bespaßen,bespaßen,beschäftigen,bespaßen
168754,Einverständnis,WORD,Zustimmung,NA,agreement,Agreement,Einverständnis,agreement
343799,vorsehen,Achtgeben,WORD,NA,vorausahnen,vorausahnen,vorausahnen,vorausahnen
144900,Motorrad,WORD,Helm,rennen,teifen,Reifen,Reifen,Reifen
284886,wunderbar,prächtig,WORD,Landschaft,Frau aeschlimann,Frau Aeschlimann,Frau Aeschlimann,Frau Aeschlimann
96033,Strahl,Laser,Sonnenstrahlen,WORD,Röngenstrahlen,Röntgenstrahlen,Röntgenstrahlen,Röntgenstrahlen
71041,ersuchen,finden,schauen,WORD,nachgucken,nachgucken,nachgucken -> ersuchen; Die korrigierte Response ist: anfragen,nachgucken
385959,Senator,Politik,würdevoll,WORD,distinguiert,distinguiert,distinguiert,distinguiert
12419,Heinrich,Altdeutscher Name,WORD,Kaiser xy,langeweilig,langweilig,langweilig,langweilig
74072,Segelschiff,Meer,Freiheit,WORD,grenzenlosigkeit,Grenzenlosigkeit,grenzenlos,Grenzenlosigkeit
347626,Enge,WORD,durch,schmal,dräue,dräuen,Dräue,draue
357644,Quatsch,Unfug,WORD,Quatsch mit Soße,Voker Quaschning,Volker Quaschning,Quatsch,Voll Quatsch
18712,Gesundheit,Krebs,Obst,WORD,hatschi,hatschi,Gesundheit,Hatschi
127925,Fräulein,WORD,Herrlein,NA,gibts nicht,gibt's nicht,Fräulein,gibt's nicht
143249,Cognac,Alkohol,Frankreich,WORD,Louis de Funes,Louis de Funes,Louis de Funes,Louis de Funès
318920,Bauarbeiter,Baustelle,Helm,WORD,Hinterherpfeifen,hinterherpfeifen,Hinterherpfeifen,Hinterherpfeifen
52987,Notwendigkeit,Plage,Lottogewinn,WORD,wat Mut Mut,"wat mutt, dat mutt",Mut,was
143375,Lego,Kindheit,WORD,Bauklötze,(lego-) Technik,Technik,Technik,Technik
103677,Reh,Hirsch,WORD,Kitz,Regrücken,Rehrücken,Reh Rücken,Rehrücken
178652,Einbruch,Dieb,Raub,WORD,stehelen,stehlen,Die korrigierte Response lautet: stehlen,stehlen
190181,Demenz,Alter,Krankheit,WORD,vergesseb,vergessen,Vergesslichkeit,Vergessen
236177,weiterhin,Immer noch,WORD,NA,Andauernf,andauernd,Andauern,Andauern
89727,Dudelsack,Schottland,Musik,WORD,Roddy Piper,Roddy Piper,Roddy Piper,Roddy Piper
234898,Ursprung,original,WORD,Ursache,queöle,Quelle,Ursprung,Quelle
239632,nur,WORD,wenig,klein,geringschätzen,gering schätzen,nur,geringschätzen
207176,kalt,Wetter,WORD,NA,ungequem,unbequem,unangenehm,unbequem
108732,Hamburger,Bürger der Stadt Hamburg,Cheesburger,WORD,Fast food,Fast Food,Fast Food,Fast food
113719,Orgel,Kirche,Hochzeit,WORD,Andi (Organist),Andi,Organist,Andi (Organist)
229120,Ehre,WORD,Auszeichnung,NA,"Kohl,Helmut",Helmut Kohl,Auszeichnung,Helmut Kohl
43222,Mail,EMail,WORD,NA,Scheckenpost,Schneckenpost,Post,Schnellpost
195108,Genie,WORD,Wahnsinn,einzigartig,Oberklug,oberklug,Oberklug,Oberklug
360758,Zugehörigkeit,WORD,Gemeinschaft,Gefühl,assoziert,assoziiert,Assoziation,assoziiert
280383,Song,Text,Contest,WORD,Neil Diamond,Neil Diamond,Neil Diamond,Neil Diamond
202770,sortieren,WORD,Akten,NA,irdnen,ordnen,sortieren,ordnen
101940,Ziehharmonika,Mundharmonika,Handorgel,WORD,quetschkomode,Quetschkommode,Quetschkommode,Quetschkommode
140771,herrschen,REGIEREN,WORD,BEHERRSCHEN,HERRSCHSÜCHTIG,herrschsüchtig,herrschsüchtig,HERRSCHSÜCHTIG
171210,ethisch,korrekt,moralisch,WORD,Institutional Review Board,Institutional Review Board,Institutional Review Board,Institutional Review Board
113388,charmant,WORD,nett,sympathisch,Prinz Charming,Prinz Charming,Prinz Charming,Prinz Charming
139851,akribisch,WORD,zwanghaft,ordentlich,detailverliebt,detailverliebt,detailverliebt,detailverliebt
385438,daheim,Zuhause,WORD,Gemüt,my home is my castle,my home is my castle,Zuhause,my home is my castle
224478,Mitmenschen,WORD,NA,NA,Menschen Nicht Mit-menschen oder Ohne-menschen...,Menschen,Mitmenschen,Menschen
112827,Slowakei,WORD,Bratislava,Bier,Tschechislowakei,Tschechoslowakei,Tschechoslowakei,Tschechoslowakei
278957,Badezimmer,toillette,Dusche,WORD,Badewannr,Badewanne,Badewanne,Badewanne
247919,Verurteilung,Gericht,WORD,Gesetz,Richter*in,Richter,Richterin,Richter*in
318135,Nudeln,Spaghetti,Tomatensauce,WORD,parmesam,Parmesan,Parmesan,Parmesan
311754,dorthin,fern,WORD,einräumen,exptisch,exotisch,exptisch -> exotisch,exotisch
356891,Lagerfeuer,Gitarre,WORD,Glut,würstcgen,Würstchen,Würstchen,Würstchen
168783,Ungarn,Land,östlich,WORD,österreich-ungarn,Österreich-Ungarn,Österreich-Ungarn,Österreich
130524,Maler,Farben,Gerüste,WORD,Weise Kitteldinger,weiße Kittel,Weißkittel,Weiße Kittel
240935,Unwetter,zerstörerisch,WORD,unkontrollierbar,zuviel Regen,zu viel Regen,Unwetter,zu viel Regen
152527,schmecken,WORD,ausprobieren,Gourmet,mmh,mmh,mmh,mmm
314694,Diversität,vielseitig,WORD,NA,vielfälltig,vielfältig,vielfältig,vielfältig
286374,wiederholen,WORD,Fehler,Wort,noochmals,nochmals,nochmals,nochmals
260011,Schokolade,WORD,Schweiz,Schoko-Drink,Schoggi,Schoggi,Schokolade,Schoggi
343670,Einzelnachweis,Behörde,WORD,Formular,bamtensprech,Beamtensprech,Amtensprache,Amtssprache
376561,kreativ,WORD,töpfern,zeichnen,Berug,Beruf,Beruf,Beruf
240433,klauen,stehlen,WORD,bestrafen,Wachsmalfarbe,Wachsmalfarbe,stehlen,Wachsmalfarbe
128916,Schlange,Hand,WORD,NA,Tromme,Trommel,Schlage,Trommel
322168,vernichten,zerstören,Gewalt,WORD,anhilieren,annihilieren,anihilieren,annihilieren
267460,Kosmetik,Schminke,WORD,teuer,Make Up,Make-up,Make-up,Make Up
154158,Hemd,Hose,WORD,Kravatte,TShirt,T-Shirt,T-Shirt,T-Shirt
344077,beugen,strecken,WORD,aufgeben,Ellebogen,Ellenbogen,Beugen,Ellbogen
58293,Anforderung,WORD,haben,Angst,gerechtwerden,gerecht werden,Anforderung,gerecht werden
349538,vorbereiten,WORD,NA,NA,prepare,prepare,vorbereiten,prepare
91368,Finanzen,Bank,WORD,verwirrend,Bösre,Börse,Börse,Börse
51607,John,Malkovich,Lennon,WORD,Fuegi,John Fuegi,John Lennon,Fuego
27080,Gebrauch,Gebrauchsgegenstand,Benutzen,WORD,Use,use,Benutzen,Use
117125,Pinguin,Pingeln,WORD,Urlaub,atagonien,Patagonien,Antarktis,Antagonien
174713,Handy,Telefon,Anrufen,WORD,Tramfahrt,Tramfahrt,Tramfahrt,Tramfahrt
311003,aufzeigen,WORD,Hoch,Finger,Aufmalen,aufmalen,aufzeigen,Aufmalen
132704,Drehbank,Metall,WORD,Metallbau,zerspannungsmechaniker,Zerspanungsmechaniker,Zerspanungsmechaniker,Zerspanungsmechaniker
226871,Thron,Herrscher,WORD,Palast,großbriannien,Großbritannien,Großbritannien,Großbritannien
226551,Einbruch,Maske,Waffe,WORD,Nnacht,Nacht,Nacht,Nacht
227019,Deutung,Deutlich,Meinung,WORD,Definion,Defintion,Definition,Definition
80068,etablieren,Markt,Umsatz,WORD,investitiom,Investition,Investition,Investition
46637,Öffentlichkeit,offener Raum,WORD,viele Menschen,keine privatheit,keine Privatheit,keine Privatsphäre,Keine Privatheit
290052,Herr der Ringe,Film,Fantasy,WORD,New zealand,New Zealand,Neuseeland,New Zealand
349970,unterwürfig,WORD,feige,gestrig,kriecherisch,kriecherisch,kriecherisch,kriecherisch
142670,Thailand,tropisch,WORD,Kriminalität,Süd-ost Asien,Südostasien,Südostasien,Südostasien
196289,grün,Natur,WORD,pflanzen,die grünen (partei),Die Grünen,Die Grünen,Die Grünen
194749,Tür,WORD,Pforte,NA,Eigang,Eingang,Eingang,Eingang
166588,Mundharmonika,WORD,NA,NA,Zieharmonika,Ziehharmonika,Zieharmonika,Mundharmonika
218161,Gitter,Netz,Gefängnis,WORD,Absperrunh,Absperrung,Absperrung,Absperrung
325066,abrufen,WORD,Fähigkeiten,Wissen,Emails,E-Mails,abrufen,Emails
318048,ertragen,mühsam,schleppend,WORD,wenns sein muss,wenn es sein muss,wenn's sein muss,wenn's sein muss
131053,Kran,bauen,Baustelle,WORD,Bauarbeiterdekoltée,Bauarbeiter-Dekolleté,Bauarbeiterdekolleté,Bauarbeiterdekolleté
199584,Beutel,Jutebeutel,Einkaufstasche,WORD,Kängurubeutel,Kängurubeutel,Kängurubeutel,Kängurubeutel
201101,Mine,Explosion,Beine,WORD,südlices Afrika,südliches Afrika,Südliches Afrika,Südliches Afrika
50097,Reflexion,Reflex,Assoziation,WORD,Konnektion,connection,Assoziation,Konnektion
276779,Länge,WORD,Maßband,Zeit,Srecke,Strecke,Strecke,Strecke
144495,nah,WORD,im Reichweite,kurze strecke,fernn,fern,nah,fern
125261,passen,Klamotten,Menschen zueinander,WORD,Puzzleteile,Puzzleteile,Puzzleteile,Puzzleteile
121791,Mücke,Stechen,WORD,Malaria,sirren,sirren,sirren,surren
183252,bitter,traurig,WORD,NA,ungesüßt,ungesüßt,ungesüßt,ungesüßt
275659,Wetter,Sonne,Wetterbericht,WORD,Wtterfrosch,Wetterfrosch,Wetterfrosch,Wetterfrosch
128433,herausragend,super,exzellent,WORD,spizze,Spitze,spitze,spitze
48256,ausführlich,gründlich,umfassend,WORD,detailiert,detailliert,detailiert,detailliert
294350,verhaften,festnehmen,Polizei,WORD,gefägniss,Gefängnis,Gefängnis,Gefängnis
318888,Jack,Vorname,WORD,Jackpot,the ripper,Jack the Ripper,Jack,Jack the Ripper
52668,Lage,WORD,Ort,Bett,Lüttje,Lüttje,Lüttje,Lütje
296170,beeinflussen,Einfluss,Meinungsänderung,WORD,authoritär,autoritär,beeinflussen,authoritär
72862,Lord,WORD,England,Fantasie Bücher,of the rings,The Lord of the Rings,Herr der Ringe,Lord of the Rings
367031,Mark,Geld,Mark Brandenburg,WORD,Mark Klößchen,Markklößchen,"Mark Klößchen -> Mark Klößchen bleibt, da eine Korrektur zu ""Marke"" nicht sinnvoll ist, aber ""Mark"" ist der Cue und ""Klößchen"" ist ein eigenständiges Wort Klößchen",Mark Klößchen
258345,weich,hart,WORD,Kissen,kuschlig,kuschlig,weich,kuschlig
60877,Beitrag,WORD,Addition,Spende,Mitmach-Aktion,Mitmachaktion,"Mitwirkung, Aktion",Mitmach-Aktion
377851,Spritze,WORD,Impfung,Schmerz,aaah,aaah,Schmerz,Nadel
103436,Unterbrechung,Enttäuschung,WORD,ärgerlich,Coitus interruptus,Coitus interruptus,Unterbrechung,Coitus interruptus
313938,nochmal,WORD,Runde,Widerholen,Mehere Versuche,Mehrere Versuche,Mehrere Versuche,Mehrere Versuche
131098,Quote,Neger,LOL,WORD,rekt,rekt,rekt,rekt
303532,Hollywood,Filme,Schauspieler:innen,WORD,Regisseur:innen,Regisseur,Regisseure,Regisseur:innen
133855,kommandieren,WORD,befehlen,Kommandant,令,令,befehlen,Befehl
41759,Verhältnis,WORD,gefährlich,Büro,Affäire,Affäre,Affäre,Affäre
126528,herausstechend,WORD,gut,Augenkrebs,besonder,besonders,besonders,besonders
40637,treten,WORD,kicken,stauchen,dappen,tappen,"dappen -> treten, daher: treten -> 'dappen' sollte 'treten' lauten; Die korrigierte Response ist: treten",tappen
126712,Hobby,Hobbies,WORD,Lesen,Kennenlernrunde,Kennenlernrunde,Kennenlernrunde,Kennenlernrunde
245801,Mechanik,Auto,WORD,Werkstatt,Machaniker,Mechaniker,Mechaniker,Mechaniker
87632,beherbergen,Hotel,Jugendherberge,WORD,unterkommen,unterkommen,unterkommen,unterkommen
8868,lösen,WORD,Rätsel,Chemie,Solution,solution,Lösung,Solution
317872,ungenügend,Note,WORD,unzufriedenstellend,Leisutng,Leistung,Leistung,Leistung
86704,Kasus,WORD,Latein,Fall,knaktus,Knackpunkt,Fall,Kasus
149764,Musiker,WORD,viel üben,Star,klasischemusik,klassische Musik,Klassische Musik,klassische Musik
74854,Storch,weiß,lange dünne Beine,WORD,babies,Babies,Kinder,babies
111712,Estland,Lettland,WORD,Länder,Littauen,Litauen,Litauen,Litauen
274332,Küste,WORD,Papageientaucher,Felsen,Nordeseeküste,Nordseeküste,Küste,Nordseeküste
152186,Straßenbahn,WORD,Verkehr,Pendeln,Trämli,Tram,Tram,Trämli
182228,Verlierer,WORD,NA,NA,Gibts nicht,gibt's nicht,Verlierer,gibt's nicht
73499,Sandale,Birkenstock,Zwischenzehsteg,WORD,Flip Flop,Flip-Flop,Flip-Flop,Flip Flop
332457,beruhigen,WORD,Frust,Da sein für jemnden,Wüt,Wut,Wut,Wut
203210,Niveau,hoch,WORD,brillant,sofistiziert,sophistiziert,sophistiziert,sophistiziert
8581,diskutieren,argumentieren,klugscheißen,WORD,Missverständniss,Missverständnis,Missverständnis,Missverständnis
54330,verfolgen,jagen,WORD,schnell,Jason Born,Jason Bourne,Jason Bourne,Jason Bourne
134062,Hüfte,Beine,WORD,Bruch,OS ilium,Os ilium,Os ilium,Os ilium
370568,öde,WORD,träge,nichtssagend,längweilig,langweilig,langweilig,langweilig
16636,Bildung,WORD,bildhaft,hirndung,geistdung,geistig,bildung Die korrigierte Response lautet: Bildung,Geistbildung
168759,Bolivien,Anden,WORD,Indios,la paz,La Paz,La Paz,La Paz
371272,sinken,untergehen,WORD,nicht mehr zu sehen,fallenlassen,fallen lassen,fallen lassen,fallen lassen
105369,Schreiner,"schwarzer, traditioneller Arbeistanzug",WORD,Geruch nach Holz,"schöner, junger, kräftiger Mann",schöner Mann,"Schwarzer, traditioneller Arbeitsanzug","schöner, junger, kräftiger Mann"
101719,Aprilscherz,albern,wetterwendisch,WORD,"Sonne, Hagel, Regen",Sonne,Wetter,Sonne
41372,Entwurf,Plan,Hausbauplan,WORD,Gedicht/Romanentwurf,Gedicht,Gedicht/Romanentwurf,Gedicht
61511,Roman,Buch,Entspannung,WORD,Litteratur,Literatur,Literatur,Literatur
171310,Luxemburg,WORD,Stadt,NA,Lanf,Land,Luxemburg,Land
400545,Irrtum,WORD,Paragraf,Gesetz,Falschliegen,Falschliegen,Falschliegen,falsch liegen
268113,illegal,Kriminaltat,WORD,Canabis,Gefägnis,Gefängnis,Gefängnis,Gefängnis
144859,Saft,orange,spfel,WORD,tomateapfel,Tomate,Tomate,Tomate
24521,Uhr,Zeit,WORD,Verlauf,tick-tack,tick-tack,tick-tack,Tick-Tack
298287,unehrlich,lügen,WORD,nicht ehrlich,ungetreu,ungetreu,ungetreu,ungetreu
285779,Zusammenschluss,Novartis,WORD,Zentrierung,oeganisationsstruktur,Organisationsstruktur,Organisationstruktur,Organisationsstruktur
69877,Möhre,orange,Gelbe Rübe,WORD,knackig,knackig,knackig,knackig
166738,Anführungszeichen,Ausrufezeichen,Fragezeichen,WORD,interpounktion,Interpunktion,Interpunktion,Interpunktion
326640,pfeifen,WORD,Mund,Idiot,ofeife,Pfeife,pfeifen,Pfeife
110540,Schimpfwort,harmlos,WORD,Idiot,Gemecker,Gemecker,Beleidigung,Gemecker
116790,überbewertet,vieles,WORD,Blender,zuviel,zu viel,zuviel,zu viel
350388,Zürcher,WORD,Geschnezeltes,See,"ja, war in Berlin",Berlin,Berlin,"ja, war in Berlin"
301578,Pommes,WORD,Kartoffel,essen,McDonnald,McDonald's,McDonald's,McDonald's
245041,Erotik,Sex,WORD,Bücher,Porna,Porno,Pornografie,Porno
376246,Toleranz,wertschätznd,offen,WORD,sympatisch,sympathisch,sympathisch,sympathisch
354737,unnütz,wertlos,überflüssig,WORD,… aber trotzdem schön,aber trotzdem schön,überflüssig,schön
278121,Durchschnitt,WORD,Mittelmaßzeichen,4.5,Mittlemass,Mittelmaß,Mittelmaß,Mittelmaß
281669,Werkbank,Fabrik,Fließband,WORD,unindividuell,unindividuell,unindividuell,unindividuell
108654,Schulaufgaben,WORD,Lernerfolg,regelmäßig,mühsig,müßig,mühsam,mühsig
303188,Reagenzglas,Labor,Chemieunterricht,WORD,In vitro,in vitro,In-vitro,In vitro
282474,fleißig,WORD,Noten,Schule,strebsam,strebsam,strebsam,strebsam
